DateTime,Players
2019-04-21,118
2019-04-22,75
2019-04-23,80
2019-04-24,75
2019-04-25,66
2019-04-26,71
2019-04-27,105
2019-04-28,114
2019-04-29,76
2019-04-30,84
2019-05-01,100
2019-05-02,76
2019-05-03,82
2019-05-04,109
2019-05-05,119
2019-05-06,72
2019-05-07,72
2019-05-08,79
2019-05-09,85
2019-05-10,87
2019-05-11,108
2019-05-12,132
2019-05-13,93
2019-05-14,229
2019-05-15,540
2019-05-16,635
2019-05-17,555
2019-05-18,552
2019-05-19,497
2019-05-20,297
2019-05-21,261
2019-05-22,218
2019-05-23,188
2019-05-24,183
2019-05-25,220
2019-05-26,212
2019-05-27,203
2019-05-28,160
2019-05-29,162
2019-05-30,149
2019-05-31,134
2019-06-01,173
2019-06-02,183
2019-06-03,125
2019-06-04,123
2019-06-05,97
2019-06-06,113
2019-06-07,365
2019-06-08,459
2019-06-09,483
2019-06-10,385
2019-06-11,329
2019-06-12,290
2019-06-13,284
2019-06-14,267
2019-06-15,339
2019-06-16,357
2019-06-17,268
2019-06-18,249
2019-06-19,214
2019-06-20,230
2019-06-21,222
2019-06-22,281
2019-06-23,276
2019-06-24,215
2019-06-25,188
2019-06-26,240
2019-06-27,266
2019-06-28,404
2019-06-29,659
2019-06-30,702
2019-07-01,540
2019-07-02,420
2019-07-03,402
2019-07-04,456
2019-07-05,467
2019-07-06,571
2019-07-07,560
2019-07-08,393
2019-07-09,378
2019-07-10,330
2019-07-11,329
2019-07-12,306
2019-07-13,369
2019-07-14,406
2019-07-15,271
2019-07-16,269
2019-07-17,244
2019-07-18,211
2019-07-19,242
2019-07-20,276
2019-07-21,310
2019-07-22,225
2019-07-23,179
2019-07-24,185
2019-07-25,170
2019-07-26,163
2019-07-27,254
2019-07-28,256
2019-07-29,211
2019-07-30,197
2019-07-31,177
2019-08-01,167
2019-08-02,175
2019-08-03,228
2019-08-04,223
2019-08-05,181
2019-08-06,167
2019-08-07,179
2019-08-08,167
2019-08-09,177
2019-08-10,229
2019-08-11,244
2019-08-12,167
2019-08-13,185
2019-08-14,124
2019-08-15,157
2019-08-16,154
2019-08-17,185
2019-08-18,203
2019-08-19,147
2019-08-20,138
2019-08-21,139
2019-08-22,145
2019-08-23,127
2019-08-24,176
2019-08-25,181
2019-08-26,155
2019-08-27,141
2019-08-28,133
