"DateTime","Players"
2019-05-07,10933
2019-05-08,11524
2019-05-09,11956
2019-05-10,12832
2019-05-11,16238
2019-05-12,16453
2019-05-13,11093
2019-05-14,11053
2019-05-15,10246
2019-05-16,9889
2019-05-17,10066
2019-05-18,12716
2019-05-19,13617
2019-05-20,9521
2019-05-21,9375
2019-05-22,8939
2019-05-23,8515
2019-05-24,8688
2019-05-25,10494
2019-05-26,11528
2019-05-27,11295
2019-05-28,8553
2019-05-29,8237
2019-05-30,8359
2019-05-31,8179
2019-06-01,10010
2019-06-02,11436
2019-06-03,8400
2019-06-04,8109
2019-06-05,7540
2019-06-06,7880
2019-06-07,10133
2019-06-08,14240
2019-06-09,17121
2019-06-10,14049
2019-06-11,12731
2019-06-12,12266
2019-06-13,11982
2019-06-14,11389
2019-06-15,14194
2019-06-16,15306
2019-06-17,11393
2019-06-18,10652
2019-06-19,10365
2019-06-20,10331
2019-06-21,9565
2019-06-22,12216
2019-06-23,13446
2019-06-24,10167
2019-06-25,9375
2019-06-26,9978
2019-06-27,10486
2019-06-28,11079
2019-06-29,14057
2019-06-30,16863
2019-07-01,13941
2019-07-02,13070
2019-07-03,12937
2019-07-04,14411
2019-07-05,13709
2019-07-06,15228
2019-07-07,17537
2019-07-08,13984
2019-07-09,13975
2019-07-10,13019
2019-07-11,12528
2019-07-12,11936
2019-07-13,14826
2019-07-14,16167
2019-07-15,11991
2019-07-16,11382
2019-07-17,11055
2019-07-18,10670
2019-07-19,10442
2019-07-20,12571
2019-07-21,14101
2019-07-22,10732
2019-07-23,9953
2019-07-24,9694
2019-07-25,8970
2019-07-26,8812
2019-07-27,10800
2019-07-28,12209
2019-07-29,9631
2019-07-30,9018
2019-07-31,8889
2019-08-01,8491
2019-08-02,8459
2019-08-03,10099
2019-08-04,11580
2019-08-05,9301
2019-08-06,8720
2019-08-07,8409
2019-08-08,8094
2019-08-09,8086
2019-08-10,9871
2019-08-11,11305
2019-08-12,8694
2019-08-13,8394
2019-08-14,6770
2019-08-15,7903
2019-08-16,7576
2019-08-17,9600
2019-08-18,10585
2019-08-19,8100
2019-08-20,7957
2019-08-21,7589
2019-08-22,7238
2019-08-23,7259
2019-08-24,8864
2019-08-25,10021
2019-08-26,7489
2019-08-27,6950
2019-08-28,6601
